state,biden_count,trump_count
Utah,4217,3409
Hawaii,4131,3359
Minnesota,8874,7538
Ohio,23180,17181
Northern Mariana Islands,542,364
Arkansas,6604,5264
Oregon,10257,9122
Texas,75538,55477
North Dakota,1528,1224
Pennsylvania,26519,20094
Connecticut,7396,5922
Nebraska,3422,2921
Vermont,1242,1011
American Samoa,2441,1518
Nevada,9994,7193
Puerto Rico,1179,1016
Washington,15819,13529
Illinois,18606,15658
Oklahoma,7360,5313
Virgin Islands,138,118
District of Columbia,11104,8846
Delaware,3015,2231
Alaska,2714,2235
New Mexico,2716,2426
West Virginia,1813,1216
Missouri,9129,6835
Rhode Island,2061,1645
Georgia,24566,17331
Montana,2156,1699
Michigan,17994,14363
Virginia,17601,13362
Guam,101,75
North Carolina,20776,15584
Wyoming,954,660
Kansas,6239,4941
New Jersey,20294,15595
Maryland,10070,8209
Alabama,13273,9003
Arizona,21316,16245
Iowa,5015,3952
Massachusetts,12500,10297
Kentucky,9105,6490
Louisiana,10429,7915
Mississippi,4093,2682
New Hampshire,2911,2186
Tennessee,17285,11708
Florida,77810,57627
Indiana,11531,8799
Idaho,3110,2421
South Carolina,12102,8413
South Dakota,1029,932
California,80810,68254
New York,54213,45452
Wisconsin,8520,6809
Colorado,12413,10377
Maine,3302,2573
